Parent,itemId,variantIds
FC10,2a22068a-69db-44cd-b844-1177779d1b4d,"5b098a40-cfe3-4c77-b355-2cc503fa651c,bb7fe057-2dd0-492b-ba09-5d5f6d008b7e,c53f7b77-782a-4091-9a94-1ccfc21855f9,58f3a10f-32bd-46ff-a093-a79b9bb64872,f1fd5fc7-eae5-4d4c-8610-31161040b178,0b238975-5287-49c2-af89-cb795775f39d,bcb1c121-0677-4f49-baf3-09343e984ec6,0198c8f8-21a9-4fd3-a73b-eecd67971335,4b2e92a9-3086-4363-974a-2601a5842e28,ddeb9a58-d898-4bc3-9244-746f25e30157,59aad686-b2f5-475f-a988-224ebab4457f"
FC14,d71b83cc-45ea-4f68-99f9-28a8276cd26f,"8802ba70-edf7-4c47-82e7-2bc1b6a4cbd0,5184dbb4-e4a4-4d25-8028-f1bff7dca0e2,1e8b931b-467f-4163-9c57-9d8da7ca4dc1,2820b664-64fa-4e62-9c51-e6657636ce46,85af1064-db6f-4ad6-b52d-3107ac9fb070,4a570458-8d04-42bb-bfda-116d5116c306,3cc8f0d3-39a8-4769-9274-cda45d2788ad,5b1e0df5-e7ed-40d4-be4c-6e5482d1d684,1dcbf48f-a4d5-4ecc-b6a6-e09d8bcd8b45,de625cc5-c9d4-4b22-bff6-d8103dc1827c,1af96631-e59e-44de-89e4-222fdb032754"
FC75,816bfbb4-a81a-46f7-804c-264f327e0a5d,"ab720ba0-5951-422f-8b87-3124d260a136,910cad97-833c-4c56-806f-af4b62c5891f,57527b84-2097-4c4f-8d57-117fefe5d15d,b71b66a6-f40b-4e2b-b48a-e4957cc7de2c,98b3a285-9da6-45db-84b7-e07e2bb7471e,d72fdc4a-bd47-4f37-9fa2-075e6513a2f8,c1751f39-7efb-4e05-b516-7f81b1d0110f,51db1a41-20cc-4676-83c4-9658e7f0b410,dea9c0c6-e47d-4044-abfa-d35d0d7109fd"
FC63,a9fc5690-7f34-4d7e-9f64-54ecbccabd35,"9996b25a-5b29-4124-88b1-7f88a9143403,a43ec00c-ae54-4312-ad00-c1a9466ad905,ff333c36-3fa1-4109-88bd-81c8c9dd587f,8061ed66-7731-4a14-81b9-715026b82147,35dd0b06-0860-4a62-8b38-994ff46f7127,1c260dc6-2627-4557-af24-7c14e15544a5,be9c954e-0853-4694-aab5-be2da57e919f,584e3f60-7fcf-42b0-b554-3d538f7fdf76,8918cd98-e665-4fd9-866f-556b756d8147,e42b650a-40c2-40ac-bee1-40701d90948c"
FC65,f0c1cc47-7392-4b18-a00f-8163842c499c,"483b4198-b475-494c-89b8-1bf46cb9dda5,708bed6b-918d-4308-8269-801369837733,25c9f0d3-4a4b-4bf8-9e9e-043127140098,8504ff65-5eec-4421-ac57-01405896b6b9,d726ccb8-cf58-4020-9bd5-15e29d6b03ad,6bb5032c-5f02-42ca-ac05-771cd6d9af0d,8f34029c-0933-46a2-bdfe-0060e72cc345,abee9ba3-85b4-48da-b1f1-22c8712ee321,94d4c2e1-acf7-401a-8f5c-4fda55ef8577"
FC90,0a71c59b-925c-4315-b7a8-dddfedd582a0,"0cb391ee-e079-4cab-80e0-4a9f89c8b150,3aea6bb0-356e-46ba-92b5-6107d6c2b48d,70538acc-cd58-450a-a765-2e1cbe1f0a5b"
FC94,0920f21b-02d5-419e-b423-a3d1ed59ef37,"76d33fa4-7be6-48b1-940c-00764fd48688,f7728186-ce76-47ee-9b67-265c6e471e30"
FD10,d9fdde9c-c542-4160-a71d-4d9dcdf0c7e1,"a6d618e4-bf97-42cd-81df-9efabf8d544d,ebab532b-e295-494c-8689-5503bee397af,8e6e6e08-1f50-4f66-a0a3-83d0f4667b00,1d19002e-1717-4c49-bc2b-9539fa43dddf,2afe933a-08b0-4007-b4ef-b815431ac0a1,0cf347a7-e609-4ece-8b33-75866c558221,d39fbb3d-dfbd-437e-b246-ae4641f8a0cc,82275d6b-99ac-4196-b753-a332daacb29a,8bbc7f8a-f8c6-42ed-a199-568b671dd4ee"
FD90,8f2f6407-504f-4b4e-93db-fdaba5007af4,"a96730d5-5a4f-42cb-97ae-da832abfd215,6db266c4-c4f8-4cff-bb22-b2d871527963,cd524fdd-85c8-408c-aea1-d8c6065d6303,c12e74f0-7c8b-43a9-a023-9d4adaa5d4a1,66d68a6c-44fc-46ca-a9ab-682b25f78c9c,e97d5cec-cb9b-4a77-b3f7-082777540bca,80c263b7-5e5b-4ffc-979d-c0bee6c8e964,e95d2cf6-eb0e-4b55-965e-2c3fb7288827"
FD95,13f212e4-b304-42c9-990c-693f2fee8294,"8ecec47b-8573-4a30-8e59-e79ea7b1c686,f59f745f-f643-4280-aad9-0395db2a1937,23ba2587-20a1-483b-a218-e0dc503333ac,16429535-6b6c-4956-9013-18b9f921749a,3c28f598-cf3c-4190-aab5-d99e3b3316ca,1f8cd323-94c1-417d-a75e-697feb505881,573f38a5-ff8d-4d8c-bf34-868ef10379b4,867e511a-ad2b-4bac-afb0-2f47f6ba4f70"
